threshold,precision,recall,f1
0.01,0.470002,0.465433,0.467706
0.03,0.470002,0.465433,0.467706
0.05,0.470299,0.464179,0.467219
0.07,0.489182,0.471391,0.480121
0.09,0.503313,0.47625,0.489408
0.11,0.514041,0.479229,0.496025
0.13,0.525072,0.484245,0.503833
0.15,0.532624,0.486283,0.5084
0.17,0.538702,0.486597,0.511325
0.19,0.54628,0.490359,0.516811
0.21,0.551992,0.490986,0.519705
0.23,0.555772,0.4913,0.521551
0.25,0.559479,0.49177,0.523444
0.27,0.562298,0.490986,0.524228
0.29,0.565531,0.49177,0.526077
0.31,0.568453,0.492083,0.527519
0.33,0.572261,0.492867,0.529605
0.35,0.572837,0.491927,0.529308
0.37,0.573446,0.490202,0.528567
0.39,0.574613,0.488948,0.528331
0.41,0.575416,0.488008,0.528119
0.43,0.575348,0.486597,0.527263
0.45,0.574963,0.484559,0.525904
0.47,0.575611,0.483932,0.525805
0.49,0.577628,0.484088,0.526738
0.51,0.580173,0.484402,0.527979
0.53,0.580256,0.482834,0.527081
0.55,0.581835,0.48205,0.527263
0.57,0.581687,0.480013,0.525981
0.59,0.582602,0.478758,0.5256
0.61,0.583094,0.476877,0.524664
0.63,0.58351,0.474839,0.523596
0.65,0.584983,0.472645,0.522847
0.67,0.586557,0.470607,0.522223
0.69,0.584679,0.465433,0.518286
0.71,0.583879,0.461044,0.515242
0.73,0.587822,0.458536,0.515192
0.75,0.587411,0.453519,0.511854
0.77,0.591349,0.450071,0.511127
0.79,0.59129,0.442703,0.50632
0.81,0.593209,0.435491,0.50226
0.83,0.594276,0.426399,0.496532
0.85,0.596727,0.417307,0.491144
0.87,0.594375,0.400847,0.478794
0.89,0.590635,0.383602,0.465121
0.91,0.590979,0.363537,0.45016
0.93,0.584833,0.331243,0.422938
0.95,0.581677,0.29362,0.390249
0.97,0.571876,0.228876,0.326914
0.99,0.515,0.113027,0.185371
